title,release_date,release_year,popularity,vote_count,vote_average,names_actors,name_director,budget,revenue,return
The Crime of Padre Amaro,2002-10-01,2002,2.195447,36.0,6.2,"['Gael García Bernal', 'Ana Claudia Talancón', 'Sancho Gracia', 'Angélica Aragón', 'Ernesto Gómez Cruz', 'Gastón Melo', 'Damián Alcázar', 'Andrés Montiel', 'Pedro Armendáriz Jr.', 'Blanca Loaria', 'Juan Ignacio Aranda', 'Verónica Langer', 'Jorge Zárate', 'Lorenzo de Rodas', 'Roger Nevares']",Carlos Carrera,1800000.0,0.0,0.0
A Matador's Mistress,2008-09-06,2008,2.430763,29.0,5.8,"['Adrien Brody', 'Penélope Cruz', 'Nacho Aldeguer', 'Santiago Segura', 'Juan Echanove', 'Ann Mitchell', 'José Linuesa']",Menno Meyjes,28000000.0,0.0,0.0
Child's Play 3,1991-08-30,1991,24.515462,274.0,5.5,"['Justin Whalin', 'Perrey Reeves', 'Jeremy Sylvers', 'Travis Fine', 'Dean Jacobson', 'Brad Dourif', 'Dakin Matthews', 'Andrew Robinson', 'Burke Byrnes', 'Donna Eskra', 'Matthew Walker', 'Edan Gross', 'Peter Haskell', 'Terry Wills', 'Richard Marion', 'Laura Owens', 'Ron Fassler', 'Michael Chieffo', 'Henry G. Sanders', 'Lois Foraker', 'David Ellzey', 'Mark Christopher Lawrence', 'Richard A. Pack', 'Michael Renna', 'Ryan Austine', 'Kent Winfrey', 'Kim Stockdale', 'Catherine Hicks', 'Mark Taormino']",Jack Bender,13000000.0,20560255.0,1.5815580769230768
"Paris, je t'aime",2006-05-16,2006,6.980486,213.0,6.7,"['Steve Buscemi', 'Natalie Portman', 'Willem Dafoe', 'Maggie Gyllenhaal', 'Axel Kiener', 'Julie Bataille', 'Bruno Podalydès', 'Florence Muller', 'Fanny Ardant', 'Leïla Bekhti', 'Juliette Binoche', 'Seydou Boro', 'Javier Cámara', 'Sergio Castellitto', 'Martin Combes', 'Cyril Descours', 'Lionel Dray', 'Marianne Faithfull', 'Ben Gazzara', 'Hippolyte Girardot', 'Bob Hoskins', 'Olga Kurylenko', 'Sara Martins', 'Elias McConnell', 'Yolande Moreau', 'Catalina Sandino Moreno', 'Emily Mortimer', 'Nick Nolte', 'Paul Putner', 'Joana Preiss', 'Gena Rowlands', 'Miranda Richardson', 'Ludivine Sagnier', 'Barbet Schroeder', 'Rufus Sewell', 'Gaspard Ulliel', 'Leonor Watling', 'Elijah Wood', 'Li Xin', 'Margo Martindale', 'Aïssa Maïga', 'Thomas Dumerchez', 'Hervé Pierre', 'Julien Béramis', 'Javier Cámara', 'Emilie Ohana', 'Wes Craven', 'Alexander Payne']",Isabel Coixet,13000000.0,4857367.0,0.3736436153846154
Lethal Weapon 2,1989-07-07,1989,12.834276,1066.0,6.7,"['Mel Gibson', 'Danny Glover', 'Joe Pesci', 'Joss Ackland', ""Derrick O'Connor"", 'Patsy Kensit', 'Darlene Love', 'Steve Kahan', 'Mark Rolston', 'Jenette Goldstein', 'Dean Norris', 'Juney Smith', 'Nestor Serrano', 'Philip Suriano', 'Grand L. Bush', 'Allan Dean Moore', 'Jack McGee', 'Mary Ellen Trainor', 'Traci Wolfe', 'Ebonie Smith', 'Damon Hines']",Richard Donner,25000000.0,227853986.0,9.11415944
Into the Grizzly Maze,2015-02-27,2015,15.860139,74.0,5.1,"['James Marsden', 'Thomas Jane', 'Piper Perabo', 'Scott Glenn', 'Michaela McManus', 'Billy Bob Thornton', 'Adam Beach', 'Kelly Curran', 'Reese Alexander', ""Luisa D'Oliveira"", 'Sean O. Roberts', 'Bill Croft', 'Mariel Belanger', 'Mark Acheson', 'Michael Jonsson', 'Patrick Sabongui', 'Garry Chalk', 'Alvin Sanders', 'Sarah Desjardins', 'Carson Reaume', 'Seth Isaac Johnson']",David Hackl,10000000.0,0.0,0.0
Wolf Totem,2015-02-19,2015,6.542647,137.0,6.4,"['William Feng', 'Shawn Dou', 'Ankhnyam Ragchaa', 'Yin Zhu-Sheng', 'Ba Sen Zha Bu']",Jean-Jacques Annaud,38000000.0,123205624.0,3.242253263157895
The Headless Woman,2008-08-21,2008,1.20873,14.0,5.8,"['Maria Onetto', 'Claudia Cantero', 'César Bordón', 'Guillermo Arengo', 'Inés Efron', 'María Vaner']",Lucrecia Martel,2700000.0,0.0,0.0
King Solomon's Mines,1985-03-20,1985,6.138795,101.0,5.0,"['Richard Chamberlain', 'Sharon Stone', 'Herbert Lom', 'John Rhys-Davies', 'Ken Gampu']",J. Lee Thompson,12500000.0,238227.0,0.01905816
School of Rock,2003-10-03,2003,17.95142,1454.0,6.8,"['Jack Black', 'Joan Cusack', 'Mike White', 'Sarah Silverman', 'Adam Pascal', 'Lucas Papaelias', 'Chris Stack', 'Joey Gaydos Jr.', 'Lucas Babin', 'Jordan-Claire Green', 'Veronica Afflerbach', 'Miranda Cosgrove', 'Kevin Alexander Clark', 'Robert Tsai', 'Maryam Hassan', 'Angelo Massagli', 'Caitlin Hale', 'Cole Hawkins', 'Brian Falduto', 'James Hosey', 'Aleisha Allen', 'Zachary Infante', 'Rebecca Brown', 'Jaclyn Neidenthal', 'Suzzanne Douglas', 'Eron Otcasek', 'Carlos Velazquez', 'Kimberly Grigsby', 'Lee Wilkof', 'Kate McGregor-Stewart', 'Wally Dunn', 'Tim Hopper', 'Michael Dominguez-Rudolph', 'Crash Cortez', 'Nicky Katt', 'John Highsmith', 'Heather Goldenhersh', 'Timothy ""Speed"" Levitch', 'Scott Graham', 'Sharon Washington', 'Kim Brockington', 'Marty Murphy', 'Kathleen McNenny', 'Joanna Adler', 'Robert Lin', 'Barry Shurchin', 'MacIntyre Dixon', 'Amy Sedaris', 'Mary Fortune', 'Mandy Siegfried', 'Elisa Pugliese', 'Carlos J. Da Silva', ""Ian O'Malley"", 'Chris Line', 'Kyle Meaney', 'Frank Whaley', 'Lauren Adler', 'Kelly Anne Burns', 'Leanne Cabrera', 'Catherine A. Callahan', 'Cedric Cannon', 'Mike Clemente', 'Anivile Daniel', 'Jane DeNoble', 'Riley G. Matthews Jr.', 'Jada Montemarano', 'Mateo Moreno', 'Lian Moy', 'Karen Nazarov', ""Ryan O'Connor"", 'Scott Ross', 'Caileigh Scott', 'Johnny Sullivan', 'Jamie Vergan', 'Joe Wachowski']",Richard Linklater,35000000.0,131282949.0,3.7509414
The Dog Who Stopped the War,1984-10-03,1984,1.641502,14.0,7.4,"['Cédric Jourde', ""Marie-Pierre A. D'Amour"", 'Julien Elie', 'Minh Vu Duc', 'Maryse Cartwright', 'Luc Boucher', 'Natalie Gagnon', 'Olivier Monette', 'Mario Monette', 'Gilbert Monette', 'Patrick St-Pierre', 'Mathieu Savard', 'Jean-François Leblanc', 'Steve Savage', 'Carlos Da Costa', 'François Gratton', 'Julie Martel', 'Christine Dufort', 'Hélène Arseneau', 'France Bouchard-Lavoie', 'Jean Guérin', 'Madeleine Villeneuve Bouchard', 'Lina Leblanc', 'Fernande Bouchard', 'France Panneton', 'Paul-Emile Tremblay', 'Eric Lavoie', 'Pierre Richard']",André Mélançon,1340000.0,0.0,0.0
Tremors 4: The Legend Begins,2004-01-02,2004,10.002295,108.0,5.4,"['Michael Gross', 'Sara Botsford', 'Billy Drago', 'Brent Roam', 'August Schellenberg', 'J.E. Freeman', 'Ming Lo', 'Neil Kopit', 'Sean Moran', 'Matthew Seth Wilson', 'Lydia Look', 'Sam Ly', 'John Dixon']",S. S. Wilson,5000000.0,0.0,0.0
Killing Zoe,1993-10-01,1993,4.948569,111.0,6.1,"['Eric Stoltz', 'Julie Delpy', 'Jean-Hugues Anglade', 'Tai Thai', 'Bruce Ramsay', 'Kario Salem', 'Salvator Xuereb', 'Gary Kemp', 'Martin Raymond', 'Eric Pascal Chaltiel', 'Cecilia Peck']",Roger Avary,1500000.0,418961.0,0.27930733333333335
Heropanti,2014-05-23,2014,2.031919,15.0,5.4,"['Tiger Shroff', 'Kriti Sanon', 'Prakash Raj', 'Shireesh Sharma ', 'Sandeepa Dhar', 'Vikram Singh']",Sabbir Khan,4200000.0,10000000.0,2.380952380952381
Third Person,2013-09-09,2013,8.808328,218.0,5.8,"['Liam Neeson', 'Mila Kunis', 'James Franco', 'Olivia Wilde', 'Adrien Brody', 'Maria Bello', 'Kim Basinger', 'Moran Atias', 'Katy Louise Saunders', 'Loan Chabanol', 'Riccardo Scamarcio', 'Daniela Virgilio', 'Vinicio Marchioni', 'Vincent Riotta', 'Caroline Goodall', 'Bob Messini', 'Ilaria Genatiempo', 'Emanuela Postacchini']",Paul Haggis,28000000.0,1749201.0,0.06247146428571428
White Fang,1991-01-18,1991,12.318052,139.0,6.5,"['Klaus Maria Brandauer', 'Ethan Hawke', 'Seymour Cassel', 'Susan Hogan', 'James Remar', 'Bill Moseley', 'Clint Youngreen', 'Pius Savage', 'Aaron Hotch', 'Charles Jimmie Sr.', 'Dick Mackey', 'Suzanne Kent']",Randal Kleiser,14000000.0,34793160.0,2.4852257142857144
The Signal,2007-02-22,2007,11.329733,85.0,5.9,"['Anessa Ramsey', 'Justin Welborn', 'AJ Bowen', 'Scott Poythress', 'Sahr Ngaujah', 'Lindsey Garrett', 'Chad McKnight', 'Christopher Thomas', 'Matthew Stanton', 'Suehyla El-Attar']",David Bruckner,50000.0,249905.0,4.9981
The Texas Chainsaw Massacre,2003-10-17,2003,7.810068,670.0,6.1,"['Jessica Biel', 'Jonathan Tucker', 'Erica Leerhsen', 'Mike Vogel', 'Eric Balfour', 'Andrew Bryniarski', 'R. Lee Ermey', 'David Dorfman', 'Lauren German', 'Terrence Evans', 'Marietta Marich']",Marcus Nispel,9500000.0,107071655.0,11.270700526315789
Life Feels Good,2013-10-11,2013,1.591464,23.0,7.5,"['Dawid Ogrodnik', 'Arkadiusz Jakubik', 'Kamil Tkacz', 'Dorota Kolak', 'Anna Nehrebecka', 'Katarzyna Zawadzka', 'Helena Sujecka', 'Mikołaj Roznerski', 'Tymoteusz Marciniak', 'Anna Karczmarczyk', 'Agnieszka Kotlarska']",Maciej Pieprzyca,996519.0,0.0,0.0
The Contender,2000-10-13,2000,15.072042,61.0,6.7,"['Gary Oldman', 'Joan Allen', 'Jeff Bridges', 'Christian Slater', 'Sam Elliott', 'William Petersen', 'Saul Rubinek', 'Philip Baker Hall', 'Mike Binder', 'Kathryn Morris', 'Mariel Hemingway']",Rod Lurie,9000000.0,0.0,0.0
Infamous,2006-11-16,2006,5.169999,60.0,6.4,"['Sigourney Weaver', 'Toby Jones', 'Gwyneth Paltrow', 'Sandra Bullock', 'Isabella Rossellini', 'Peter Bogdanovich', 'Jeff Daniels', 'Daniel Craig', 'Juliet Stevenson', 'Michael Panes', 'Hope Davis', 'John Benjamin Hickey', 'Lee Pace']",Douglas McGrath,13000000.0,1151330.0,0.08856384615384616
Delgo,2008-12-12,2008,2.915814,15.0,5.4,"['Freddie Prinze Jr.', 'Jennifer Love Hewitt', 'Val Kilmer', 'Anne Bancroft', 'Chris Kattan', 'Malcolm McDowell', 'Michael Clarke Duncan', 'Louis Gossett, Jr.', 'Eric Idle', 'Burt Reynolds', 'Kelly Ripa', 'Sally Kellerman', 'Jed Rhein', 'Melissa McBride', 'Mary Mouser']",Marc F. Adler,40000000.0,0.0,0.0
Pure Luck,1991-08-09,1991,2.07443,32.0,5.5,"['Martin Short', 'Danny Glover', 'Harry Shearer', 'Sheila Kelley', 'Sam Wanamaker', 'Scott Wilson', 'Sharlene Martin']",Nadia Tass,17010000.0,24941969.0,1.4663121105232215
Rio 2,2014-03-19,2014,8.18534,997.0,6.3,"['Jesse Eisenberg', 'Anne Hathaway', 'Leslie Mann', 'Jamie Foxx', 'Andy García', 'Bruno Mars', 'Jemaine Clement', 'Rodrigo Santoro', 'Jake T. Austin', 'Amandla Stenberg', 'Pierce Gagnon', 'Rita Moreno', 'Kristin Chenoweth', 'Tracy Morgan', 'Will.i.am', 'George Lopez', 'Rachel Crow', 'Bebel Gilberto', 'Jason Harris', 'Natalie Morales', 'Janelle Monae']",Carlos Saldanha,103000000.0,500188435.0,4.856198398058252
Growth,2010-01-29,2010,2.660436,27.0,5.1,"['Mircea Monroe', 'Christopher Shand', 'Brian Krause', 'Nora Kirkpatrick', 'Richard Riehle', 'Mackenzie Brooke Smith', 'Alexi Wasser']",Gabriel Cowan,300000.0,0.0,0.0
Kung Fu Jungle,2014-10-31,2014,6.636514,117.0,6.5,"['Donnie Yen', 'Charlie Yeung', 'Wang Baoqiang', 'Bai Bing', 'Deep Ng', 'Yu Kang', 'Xing Yu', 'Fan Siu-Wong', 'Bey Logan', 'Alex Fong Chung-Sun']",Teddy Chan,25000000.0,129115.0,0.0051646
Julia X,2011-09-24,2011,2.22594,34.0,4.4,"['Valerie Azlynn', 'Kevin Sorbo', 'Alicia Leigh Willis', 'Joel David Moore', 'Ving Rhames', 'Saxon Sharbino', 'Gregg Brazzel', 'Meg Rains', 'Kasi Scarbrough Corley', 'Sarah Duncan', 'Ted Ferguson', 'Michael Kober', 'James B. McDaniel', 'Courtney Rawls', 'Michael Showers', 'Lindsay Small', 'Cassie Shea Watson']",P.J. Pettiette,4000000.0,0.0,0.0
Night of the Demons 2,1994-05-31,1994,1.939337,29.0,6.0,"['Cristi Harris', 'Darin Heames', 'Robert Jayne', 'Merle Kennedy', 'Amelia Kinkade', 'Rod McCary', 'Johnny Moran', 'Rick Peters', 'Jennifer Rhodes', 'Christine Taylor', 'Zoe Trilling', 'Ladd York', 'Mark Neely', 'Rachel Longaker', 'James W. Quinn']",Brian Trenchard-Smith,1300000.0,0.0,0.0
Home Sweet Hell,2015-03-13,2015,8.504655,187.0,5.0,"['Katherine Heigl', 'Patrick Wilson', 'Jordana Brewster', 'Kevin McKidd', 'Bryce Johnson', 'Alyshia Ochse', 'Madison Wolfe', 'Steffie Grote', 'Heath Freeman', 'Jim Belushi', 'Nicole Brandi Wilson']",Anthony Burns,3000000.0,0.0,0.0
The League of Extraordinary Gentlemen,2003-07-11,2003,10.488765,1181.0,5.7,"['Sean Connery', 'Peta Wilson', 'Shane West', 'Stuart Townsend', 'Jason Flemyng', 'Tony Curran', 'Naseeruddin Shah', 'Richard Roxburgh', 'Max Ryan', 'Tom Goodman-Hill', 'David Hemmings', ""Terry O'Neill"", 'Rudolf Pellar', 'Robert Willox', 'Robert Orr', 'Joel Kirby', 'Marek Vašut', 'Ewart James Walters', 'Robert Vahey', 'Sylvester Morand', 'Mariano Titanti', 'Huggy Leaver', 'James Babson', 'Pavel Bezdek', 'Stanislav Adamickij', 'Michael McGuffie', 'Michal Grün', 'San Shella', 'Ellen Savaria', 'Riz Meedin', 'Sartaj Garewal', 'Neran Persaud', 'Andrew Rajan']",Stephen Norrington,78000000.0,179265204.0,2.2982718461538463
Machete Kills,2013-09-12,2013,9.251084,642.0,5.3,"['Danny Trejo', 'Mel Gibson', 'Amber Heard', 'Michelle Rodriguez', 'Sofía Vergara', 'Jessica Alba', 'Tom Savini', 'Lady Gaga', 'Vanessa Hudgens', 'Cuba Gooding Jr.', 'Demián Bichir', 'Charlie Sheen', 'Antonio Banderas', 'Walton Goggins', 'William Sadler', 'Crystal Martinez', 'Alexa PenaVega', 'Billy Blair', 'Marko Zaror', 'Marci Madison', 'Alejandro Antonio', 'Callie Hernandez']",Robert Rodriguez,12000000.0,15008161.0,1.2506800833333334
Dr. T and the Women,2000-09-13,2000,6.761308,70.0,4.6,"['Richard Gere', 'Helen Hunt', 'Liv Tyler', 'Kate Hudson', 'Farrah Fawcett', 'Laura Dern', 'Shelley Long', 'Tara Reid', 'Robert Hays', 'Matt Malloy', 'Andy Richter', 'Lee Grant', 'Janine Turner', 'Jeanne Evans', 'Sarah Shahi']",Robert Altman,12000000.0,0.0,0.0
How to Train Your Dragon,2010-03-05,2010,14.416681,4319.0,7.5,"['Jay Baruchel', 'Gerard Butler', 'Craig Ferguson', 'America Ferrera', 'Jonah Hill', 'Christopher Mintz-Plasse', 'T.J. Miller', 'Kristen Wiig', 'Robin Atkin Downes', 'Philip McGrade', 'Kieron Elliott', 'Ashley Jensen', 'David Tennant']",Chris Sanders,165000000.0,494878759.0,2.999265206060606
Curdled,1996-09-06,1996,2.781581,29.0,6.2,"['Bruce Ramsay', 'William Baldwin', 'Lois Chiles', 'Barry Corbin', 'Mel Gorham', 'Angela Jones', 'Vivienne Sendaydiego', 'Sandra Thigpen', 'Kelly Preston', 'Caridad Ravelo', 'Carmen López', 'Daisy Fuentes', 'Lupita Ferrer', 'Nattacha Amador', 'Therese Marie Gutierrez', 'Charles Tucker', 'Allysa Tacher', 'Sabrina Cowan', 'Nicoll Bacharach', 'Jay Arnor', 'Quentin Tarantino', 'George Clooney']",Reb Braddock,2300000.0,49620.0,0.02157391304347826
In the Forests of Siberia,2016-06-15,2016,1.333969,34.0,7.3,"['Raphaël Personnaz', 'Evgeniy Sidikhin']",Safy Nebbou,3500000.0,1492523.0,0.42643514285714285
Batman: The Killing Joke,2016-07-21,2016,6.488277,485.0,6.2,"['Kevin Conroy', 'Mark Hamill', 'Tara Strong', 'Ray Wise', 'Robin Atkin Downes', 'Brian George', 'Maury Sterling', 'Rick D. Wasserman', 'John DiMaggio', 'Fred Tatasciore']",Sam Liu,3500000.0,3775000.0,1.0785714285714285
Kingsman: The Secret Service,2015-01-29,2015,28.224212,6069.0,7.6,"['Colin Firth', 'Samuel L. Jackson', 'Mark Strong', 'Taron Egerton', 'Michael Caine', 'Sophie Cookson', 'Sofia Boutella', 'Samantha Womack', 'Geoff Bell', 'Edward Holcroft', 'Mark Hamill', 'Jack Davenport', 'Jack Cutmore-Scott', 'Lily Travers', 'Hanna Alström', 'Bjørn Floberg', 'Jonno Davies', 'Nicholas Banks', 'Nicholas Agnew', 'Rowan Polonski', 'Tom Prior', 'Fiona Hampton', 'Richard Brake', 'Ralph Ineson', 'Corey Johnson', 'Velibor Topic', 'Adrian Quinton', 'Alex Nikolov', 'Jordan Long', 'Theo Barklem-Biggs', 'Tobi Bakare', 'Morgan Watkins', 'Paul Kennington', 'Johanna Taylor', 'Andrew Bridgmont', 'Anne Wittman', 'Andrei Lenart', 'Simon Green', 'Lazara Storm', 'Sarah Hewson', 'Jayne Secker', 'Lukwesa Burak', 'James Clayton', 'Nick English', 'Charles Filmer', 'Bimbo Hart', 'Chester King', 'Alastair MacIntosh', 'Carlos Peres', 'Adil Akram', 'Mohammed Ali', 'David Olawale Ayinde', 'Jaymes Butler', 'Neve Gachev']",Matthew Vaughn,81000000.0,414351546.0,5.115451185185186
The Avengers,1998-08-13,1998,9.562953,205.0,4.4,"['Ralph Fiennes', 'Uma Thurman', 'Sean Connery', 'Patrick Macnee', 'Jim Broadbent', 'Fiona Shaw', 'Eddie Izzard', 'Eileen Atkins', 'John Wood', 'Carmen Ejogo', 'Keeley Hawes', 'Shaun Ryder', 'Nicholas Woodeson', 'Michael Godley', 'Richard Lumsden', 'Solly Assa']",Jeremiah S. Chechik,60000000.0,48585416.0,0.8097569333333333
Gravity,2013-09-27,2013,18.50194,5879.0,7.3,"['Sandra Bullock', 'George Clooney', 'Ed Harris', 'Orto Ignatiussen', 'Phaldut Sharma', 'Amy Warren', 'Basher Savage']",Alfonso Cuarón,105000000.0,716392705.0,6.822787666666667
2046,2004-05-20,2004,7.157169,208.0,6.9,"['Tony Leung Chiu-Wai', 'Zhang Ziyi', 'Faye Wong', 'Takuya Kimura', 'Gong Li', 'Carina Lau', 'Siu Ping-Lam', 'Maggie Cheung', 'Dong Jie', 'Bird McIntyre', 'Chang Chen', 'Wong Sam']",Wong Kar-wai,12000000.0,19271312.0,1.6059426666666667
Justin Bieber: Never Say Never,2011-02-11,2011,5.892524,156.0,4.8,"['Justin Bieber', 'Miley Cyrus', 'Usher Raymond', 'Jaden Smith', 'Sean Kingston']",Jon M. Chu,13000000.0,98441954.0,7.572458
English Vinglish,2012-09-14,2012,3.611437,68.0,7.3,"['Sridevi Kapoor', 'Priya Anand', 'Mehdi Nebbou', 'Adil Hussain', 'Ashwin Mathew', 'Amitabh Bachchan', 'Ajith Kumar', 'Rajeev Pahuja']",Gauri Shinde,2840000.0,11620000.0,4.091549295774648
Elles,2011-09-09,2011,9.921433,45.0,5.1,"['Juliette Binoche', 'Anaïs Demoustier', 'Joanna Kulig', 'Louis-Do de Lencquesaing', 'Krystyna Janda', 'Andrzej Chyra', 'Ali Marhyar', 'François Civil', 'Jean-Marie Binoche', 'Pablo Beugnet', 'Valérie Dréville', ""Jean-Louis Coulloc'h"", 'Arthur Moncla', 'Scali Delpeyrat', 'Laurence Ragon', 'Alain Libolt', 'Swann Arlaud', 'Nicolas Layani', 'Laurent Jumeaucourt', 'José Fumanal', 'Martine Vandeville', 'Jenny Bellay', 'Tom Hénin', 'Anaïs Fabre', 'Mateusz Kościukiewicz']",Małgorzata Szumowska,4000000.0,911466.0,0.2278665
Surrogates,2009-09-24,2009,16.211937,1219.0,5.9,"['Bruce Willis', 'Radha Mitchell', 'Rosamund Pike', 'James Cromwell', 'Ving Rhames', 'Helena Mattsson', 'Boris Kodjoe', 'Ian Novick', 'Devin Ratray', 'Jack Noseworthy', 'Danny F. Smith', 'Jeffrey De Serrano', 'Michael Cudlitz', 'Trevor Donovan', 'Jennifer Alden', 'Michael Philip', 'James Francis Ginty', 'Andrew Haserlat', 'Justin Goodrich', 'Rachel Sterling', 'Meta Golding', 'Taylor Cole', 'Jordan Belfi', 'J.L. Highsmith', 'Lisa Hernandez', 'Kirk Hawkins', 'Nicholas Purcell', 'Max Murphy', 'Victor Webster', 'Valerie Azlynn', 'David Klefeker', 'Chad Williams', 'Mike Randy', 'Michael DeMello', 'Ron Murphy', 'David Conley', 'Bruce-Robert Serafin', 'Cody Christian', 'Todd Cahoon', 'Ella Thomas', 'Gabriel Olds', 'Eamon Brooks', 'Rick Malambri', 'Anya Monzikova']",Jonathan Mostow,80000000.0,122444772.0,1.53055965
Fire Down Below,1997-09-05,1997,7.83099,91.0,5.0,"['Steven Seagal', 'Marg Helgenberger', 'Stephen Lang', 'Brad Hunt', 'Kris Kristofferson', 'Levon Helm', 'Harry Dean Stanton', 'Mark Collie', 'Richard Masur', 'Alex Harvey', 'Ed Bruce', 'Amelia Neighbors', 'Michael Krawic', 'Clay Jeter', 'Yvonne Pollard', 'Newell Alexander', 'Peggy Lynn', 'Patsy Lynn Russell', 'John Diehl', 'Michael Mattison', 'Dennis Letts', 'Melodie Past', 'Petrice Jordan', 'Ellaraino', 'John Prosky', 'Gina Mari', 'Scott L. Schwartz', 'Rick Johnson', 'Andy Stahl', 'Joe Basile', 'Robert Ridgely', 'Lana Antonova', 'Randy Travis', 'Brian Leckner', ""Dan O'Donahue"", 'Ernie Lively', 'Lisa Guerrero', 'David Brisbin', 'Blue Deckert', 'James Mathers', 'Michelle von Flotow', 'Charley J. Epling', 'Ginger Carroll', 'Dan Beene', 'Kimberly Cole', 'Brett Mellon', 'Randall R. Roberts', 'Kennita Collins', 'Benjamin Mays', 'Marty Stuart', 'Julius R. Nasso', 'Aaron Chadwick', 'Michael Crosby', 'Jan Eddy', 'Travis Tritt', 'Leandra Arrowood', 'John P. Gulino', 'Nicholas Julius', 'Bruce Benson', 'Ben Greer', 'William H. Greer', 'Julie Dawn Mullins', 'Lonnie Duran Tackett', 'Mackie Richerson', 'Brett Baker', 'Jack Christopher', 'David Efron', 'Sean T. James', 'Seth Adam Jones', 'Sidney S. Liufau', 'Neal McDonough', 'Mark Jeffrey Miller', 'Hari Oziol', 'Manny Perry', 'Larry Reynosa', 'Mary Ann Schmidt', 'Maridean Mansfield Shepard']",Félix Enríquez Alcalá,60000000.0,16000000.0,0.26666666666666666
Kabali,2016-07-22,2016,2.017961,21.0,5.9,"['Rajinikanth', 'Radhika Apte', 'Dinesh Ravi', 'John Vijay', 'Kalaiyarasan', 'Dhansika', 'Kishore', 'Riythvika', 'Norman Hakim', 'Rosyam Nor', 'Nassar', 'Winston Chao', 'Mime Gopi', 'Amarendran Ramanan', 'Uday Mahesh', 'Charles Vinoth', 'Hari Krishnan', 'Gajaraj', 'Sangili Murugan', 'Sampath Ram', 'Poster Nandakumar', 'Rama']",Pa. Ranjith,18700000.0,74000000.0,3.9572192513368982
Bart Got a Room,2008-04-25,2008,11.561666,21.0,5.9,"['Steven Kaplan', 'William H. Macy', 'Cheryl Hines', 'Ashley Benson', 'Alia Shawkat', 'Brandon Hardesty', 'Kate Micucci', 'Jon Polito', 'Jennifer Tilly', 'Dinah Manoff']",Brian Hecker,2000000.0,0.0,0.0
Black Christmas,2006-12-25,2006,7.888302,119.0,4.8,"['Katie Cassidy', 'Michelle Trachtenberg', 'Kristen Cloke', 'Mary Elizabeth Winstead', 'Lacey Chabert', 'Andrea Martin', 'Crystal Lowe', 'Karin Konoval', 'Dean Friss', 'Robert Mann', 'Jessica Harmon', 'Leela Savasta', 'Kathleen Kole', 'Cainan Wiebe', 'Alycia Purrott', 'Oliver Hudson']",Glen Morgan,9000000.0,21510851.0,2.3900945555555557
Y Tu Mamá También,2001-06-08,2001,13.962548,321.0,7.3,"['Gael García Bernal', 'Diego Luna', 'Maribel Verdú', 'Ana López Mercado', 'Diana Bracho', 'Verónica Langer', 'María Aura', 'Andrés Almeida', 'Emilio Echevarría', 'Nathan Grinberg', 'Giselle Audirac', 'Arturo Ríos', 'Marta Aura', 'Juan Carlos Remolina', 'Liboria Rodríguez', 'Silverio Palacios', 'Mayra Serbulo', 'Daniel Giménez Cacho', 'Amaury Sérbulo', 'Andrea López']",Alfonso Cuarón,5000000.0,33616692.0,6.7233384
Dracula,1992-11-13,1992,16.777675,1087.0,7.1,"['Gary Oldman', 'Winona Ryder', 'Anthony Hopkins', 'Keanu Reeves', 'Richard E. Grant', 'Sadie Frost', 'Cary Elwes', 'Billy Campbell', 'Tom Waits', 'Jay Robinson', 'Monica Bellucci', 'Michaela Bercu', 'Florina Kendrick', 'I.M. Hobson', 'Laurie Franks', 'Maud Winchester', 'Octavian Cadia', 'Robert Getz', 'Dagmar Stanec', 'Eniko Öss', 'Nancy Linehan Charles', 'Tatiana von Furstenberg', 'Jules Sylvester', 'Hubert Wells', 'Honey Lauren', 'Judi Diamond', 'Robert Buckingham', 'Cully Fredricksen', 'Daniel Newman']",Francis Ford Coppola,40000000.0,215862692.0,5.3965673
Nine Queens,2000-08-31,2000,5.324962,156.0,7.4,"['Ricardo Darín', 'Gastón Pauls', 'Leticia Brédice', 'María Mercedes Villagra', 'Gabriel Correa', 'Pochi Ducasse', 'Jorge Noya', 'Ignasi Abadal', 'Carlos Lanari', 'Tomás Fonzi', 'Alejandro Awada', 'Antonio Ugo', 'Elsa Berenguer', 'Ricardo Díaz Mourelle', 'Gabriel Molinelli', 'Claudio Rissi', 'Roly Serrano']",Fabián Bielinsky,1500000.0,0.0,0.0
Legally Blonde,2001-07-13,2001,12.769371,908.0,6.2,"['Reese Witherspoon', 'Luke Wilson', 'Selma Blair', 'Matthew Davis', 'Victor Garber', 'Jennifer Coolidge', 'Holland Taylor', 'Ali Larter', 'Jessica Cauffiel', 'Alanna Ubach', 'Oz Perkins', 'Linda Cardellini', 'Meredith Scott Lynn', 'Raquel Welch', 'Greg Serano', 'John Cantwell', 'Bruce Thomas', 'Corinne Reilly', 'Victoria Mahoney', 'Jodi Harris', 'Lacey Beeman']",Robert Luketic,18000000.0,141774679.0,7.8763710555555555
South Central,1992-09-18,1992,2.99945,20.0,6.6,"['Glenn Plummer', 'Byron Minns', 'Lexie Bigham', 'Vincent Craig Dupree', 'LaRita Shelby']",Stephen Milburn Anderson,4000000.0,0.0,0.0
